stimulus,cue,correct_response,task_type,thisN,thisTrialN,thisRepN,response.keys,response.corr,response.rt,response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction_routine.started,instruction_text.started,start_key.started,instruction_routine.stopped,start_key.keys,start_key.rt,start_key.duration,cue_routine.started,text_2.started,cue_routine.stopped,stimuli_routine.started,text_3.started,response.started,text_3.stopped,stimuli_routine.stopped,trials.response.keys,trials.response.corr,trials.response.rt,trials.response.duration,feedback_routine.started,feedback_test.started,feedback_routine.stopped,feedback_test.stopped,text_2.stopped,end_routine_2.started,text_5.started,end_routine_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.021727199999986624,0.036004599999614584,0.036004599999614584,16.167509199999586,space,16.118515600000137,None,,,,,,,,,,,,,,,,,,,,,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
O,Task B,z,switch,0,0,0,z,1,4.289149199999883,None,0,0,0,13,16.207228199999918,,,,,,,,,16.18340459999945,16.207228199999918,17.17831429999933,17.182872399999724,17.20551819999946,17.20551819999946,18.20748039999944,21.510358099999394,z,1,4.289149199999883,None,21.514711899999384,21.536983099999816,23.52519239999947,,,,,,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
7,Task A,z,repeat ,1,1,0,m,0,0.7707227999999304,None,0,1,1,14,23.53851399999985,,,,,,,,,23.527608299999883,23.53851399999985,24.524983399999655,24.529054499999802,24.536626699999943,24.536626699999943,,25.310355799999343,m,0,0.7707227999999304,None,25.316761600000063,25.33509159999994,27.323746299999584,,,,,,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
T,Task B,m,switch,2,2,0,m,1,2.822490900000048,None,0,2,2,15,27.336732099999608,,,,,,,,,27.327284699999836,27.336732099999608,28.323119699999552,28.324643699999797,28.336298199999874,28.336298199999874,29.335969899999327,31.172627199999624,m,1,2.822490900000048,None,31.174668899999233,31.184959700000036,33.172641099999964,33.18388520000008,,,,,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
K,Task B,m,switch,3,3,0,m,1,1.1014115999996648,None,0,3,3,3,33.18388520000008,,,,,,,,,33.17282739999973,33.18388520000008,34.17141409999931,34.175752099999954,34.19761109999945,34.19761109999945,35.19977459999973,35.30458939999971,m,1,1.1014115999996648,None,35.30470349999996,35.31643089999943,37.30443339999965,37.315409899999395,34.19761109999945,,,,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
1,Task A,z,repeat ,4,4,0,z,1,0.989871800000401,None,0,4,4,2,37.315409899999395,,,,,,,,,37.30699719999939,37.315409899999395,38.30322739999974,38.30752239999947,38.32909879999988,38.32909879999988,39.33135439999933,39.32102369999939,z,1,0.989871800000401,None,39.32113019999997,39.33135439999933,41.3171026,41.33040729999993,38.32909879999988,,,,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
9,Task A,z,repeat ,5,5,0,m,0,0.8821998000003077,None,0,5,5,18,41.33040729999993,,,,,,,,,41.317256699999234,41.33040729999993,42.31793479999942,42.32232019999992,42.344028999999864,42.344028999999864,,43.23385679999956,m,0,0.8821998000003077,None,43.235930999999255,43.246192799999335,45.23368959999971,45.260903999999755,42.344028999999864,,,,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
A,Task B,z,switch,6,6,0,z,1,2.3204298000000563,None,0,6,6,1,45.260903999999755,,,,,,,,,45.23685159999968,45.260903999999755,46.250910400000066,46.253840299999865,46.27714859999924,46.27714859999924,47.2781774999994,48.60007069999938,z,1,2.3204298000000563,None,48.602474399999664,48.625872900000104,50.61298420000003,,,,,,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
J,Task B,m,switch,7,7,0,m,1,1.030751600000258,None,0,7,7,11,50.626254799999515,,,,,,,,,50.61316039999929,50.626254799999515,51.611994899999445,51.615751599999385,51.62436389999948,51.62436389999948,52.62524659999963,52.66174819999924,m,1,1.030751600000258,None,52.6618312999999,52.675261299999875,54.66223159999936,,,,,,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
D,Task B,m,switch,8,8,0,m,1,1.8960355999997773,None,0,8,8,7,54.67420349999975,,,,,,,,,54.66241859999991,54.67420349999975,55.662131999999474,55.666012199999386,55.68788089999998,55.68788089999998,56.69006659999923,57.59510489999957,m,1,1.8960355999997773,None,57.59523589999935,57.60647829999925,59.60862240000006,,55.68788089999998,,,,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
I,Task B,z,switch,9,9,0,z,1,0.8517306999992798,None,0,9,9,9,59.62204639999982,,,,,,,,,59.60881209999934,59.62204639999982,60.60812899999928,60.60988409999936,60.62152369999967,60.62152369999967,,61.47620129999996,z,1,0.8517306999992798,None,61.476295099999334,61.48800279999978,63.49217589999989,,,,,,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
8,Task A,m,repeat ,10,10,0,m,1,3.147672500000226,None,0,10,10,16,63.51903809999931,,,,,,,,,63.495455299999776,63.51903809999931,64.49191399999927,64.49767530000008,64.5171505999997,64.5171505999997,65.51932379999926,67.67336439999963,m,1,3.147672500000226,None,67.67346180000004,67.68506399999933,69.67119180000009,69.68414559999928,,,,,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
U,Task B,z,switch,11,11,0,z,1,1.0881107999994128,None,0,11,11,17,69.68414559999928,,,,,,,,,69.67357689999972,69.68414559999928,70.67102729999988,70.67512839999927,70.68228229999932,70.68228229999932,71.68338409999978,71.7883284999998,z,1,1.0881107999994128,None,71.78848990000006,71.79978719999963,73.7872669999997,73.81452209999952,70.68228229999932,,,,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
5,Task A,z,repeat ,12,12,0,m,0,1.0923072999994474,None,0,12,12,10,73.81452209999952,,,,,,,,,73.7925353999999,73.81452209999952,74.80199360000006,74.80592689999958,74.81385039999986,74.81385039999986,75.81462250000004,75.92229709999992,m,0,1.0923072999994474,None,75.92497370000001,75.94666909999978,77.9333459999998,,,,,,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
S,Task B,m,switch,13,13,0,m,1,1.303780999999617,None,0,13,13,19,77.94700789999933,,,,,,,,,77.93549299999995,77.94700789999933,78.93429759999981,78.93862850000005,78.96084079999946,78.96084079999946,79.96281419999923,80.2678479999995,m,1,1.303780999999617,None,80.27030680000007,80.29482929999995,82.2829340999997,,,,,,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
0,Task A,m,repeat ,14,14,0,z,0,1.3544424000001527,None,0,14,14,0,82.31041559999994,,,,,,,,,82.28611749999982,82.31041559999994,83.28303830000004,83.28882720000001,83.30874779999976,83.30874779999976,84.32631949999995,84.66658519999964,z,0,1.3544424000001527,None,84.66970439999932,84.69280609999987,86.68203769999946,,,,,,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
2,Task A,m,repeat ,15,15,0,m,1,1.6985503000005338,None,0,15,15,4,86.69344699999965,,,,,,,,,86.68228859999999,86.69344699999965,87.67940159999944,87.68364979999933,87.70662939999966,87.70662939999966,88.70878790000006,89.41441510000004,m,1,1.6985503000005338,None,89.41763879999962,89.44056249999994,91.4277204,,,,,,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
6,Task A,m,repeat ,16,16,0,m,1,0.9444978000001356,None,0,16,16,12,91.44097349999993,,,,,,,,,91.42788659999951,91.44097349999993,92.4289503,92.43376919999992,92.45451409999987,92.45451409999987,,93.41210219999994,m,1,0.9444978000001356,None,93.41220299999986,93.42344129999947,95.41000679999979,95.4223734999996,,,,,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
3,Task A,z,repeat ,17,17,0,z,1,0.7660783000001175,None,0,17,17,6,95.4223734999996,,,,,,,,,95.41016199999922,95.4223734999996,96.41006620000007,96.41401379999934,96.43614040000011,96.43614040000011,,97.2090432999994,z,1,0.7660783000001175,None,97.20912569999928,97.2217614000001,99.22460429999956,,96.43614040000011,,,,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
4,Task A,m,repeat ,18,18,0,m,1,1.2487750999998752,None,0,18,18,8,99.23743059999924,,,,,,,,,99.22481369999969,99.23743059999924,100.22386209999968,100.22844579999946,100.25116269999944,100.25116269999944,101.25325609999982,101.50746479999998,m,1,1.2487750999998752,None,101.50756209999963,101.5198891,103.52253349999955,,,,,,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
E,Task B,z,switch,19,19,0,z,1,1.093739099999766,None,0,19,19,5,103.53547059999983,,,,,,,,,103.52502679999998,103.53547059999983,104.52177149999989,104.52565759999925,104.53353530000004,104.53353530000004,105.53443399999924,105.6393392,z,1,1.093739099999766,None,105.63944509999965,105.65155249999953,107.65391769999951,,,,,,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.65402839999933,107.66713039999922,108.65315229999942,161196,001,2024-12-06_15h58.41.492,TaskSwitching,2024.2.1post4,59.27299303113169,2024-12-06 15h58.53.669963 +0530,
