stimulus,cue,correct_response,task_type,thisN,thisTrialN,thisRepN,response.keys,response.corr,response.rt,response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction_routine.started,instruction_text.started,start_key.started,instruction_routine.stopped,start_key.keys,start_key.rt,start_key.duration,cue_routine.started,text_2.started,cue_routine.stopped,stimuli_routine.started,text_3.started,response.started,text_3.stopped,stimuli_routine.stopped,trials.response.keys,trials.response.corr,trials.response.rt,trials.response.duration,feedback_routine.started,feedback_test.started,feedback_routine.stopped,feedback_test.stopped,text_2.stopped,end_routine_2.started,text_5.started,end_routine_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.013927699998021126,0.03540329998941161,0.03540329998941161,1.164730899996357,space,1.112157900002785,None,,,,,,,,,,,,,,,,,,,,,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
0,Task A,m,repeat ,0,0,0,m,1,1.7487114999967162,None,0,0,0,0,1.1989524999953574,,,,,,,,,1.1854135999892605,1.1989524999953574,2.1670479999884265,2.1727041999984067,2.1915289999888046,2.1915289999888046,3.1911606999929063,3.9423090999916894,m,1,1.7487114999967162,None,3.947744999997667,3.961101499997312,5.95670959999552,,,,,,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
E,Task B,z,switch,1,1,0,m,0,1.221754800004419,None,0,1,1,5,5.972959399994579,,,,,,,,,5.960892099988996,5.972959399994579,6.956175300001632,6.960626499989303,6.972571999998763,6.972571999998763,7.97226499998942,8.206793499994092,m,0,1.221754800004419,None,8.212521399997058,8.224935899997945,10.221397899993462,,,,,,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
2,Task A,m,repeat ,2,2,0,z,0,0.5150039000000106,None,0,2,2,4,10.23793360000127,,,,,,,,,10.22506829998747,10.23793360000127,11.22094990000187,11.225239299994428,11.237348399998154,11.237348399998154,,11.755676000000676,z,0,0.5150039000000106,None,11.755823699990287,11.770492700001341,13.754104399995413,13.769587899994804,,,,,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
8,Task A,m,repeat ,3,3,0,z,0,0.5722128999914275,None,0,3,3,16,13.769587899994804,,,,,,,,,13.754342699990957,13.769587899994804,14.753320599993458,14.757600600001751,14.769082799990429,14.769082799990429,,15.353593599997112,z,0,0.5722128999914275,None,15.353711299991119,15.368891999998596,17.352165599993896,17.367971499988926,14.769082799990429,,,,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
I,Task B,z,switch,4,4,0,m,0,0.2426011999923503,None,0,4,4,9,17.367971499988926,,,,,,,,,17.356335799995577,17.367971499988926,18.351649799995357,18.354415999987395,18.367491699988022,18.367491699988022,,18.618816999995033,m,0,0.2426011999923503,None,18.618956699996488,18.634025399995153,20.61731809999037,20.633086299989372,18.367491699988022,,,,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
O,Task B,z,switch,5,5,0,z,1,1.6578111999988323,None,0,5,5,13,20.633086299989372,,,,,,,,,20.617577600001823,20.633086299989372,21.616868400000385,21.621944400001667,21.63320179999573,21.63320179999573,22.632270599991898,23.300378299987642,z,1,1.6578111999988323,None,23.30463349999627,23.317828999992344,25.31447259998822,,21.63320179999573,,,,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
3,Task A,z,repeat ,6,6,0,m,0,1.1411296000005677,None,0,6,6,6,25.330945900001097,,,,,,,,,25.31821499999205,25.330945900001097,26.314176399988355,26.320176599998376,26.331848399990122,26.331848399990122,27.346811600000365,27.481780599991907,m,0,1.1411296000005677,None,27.48731929999485,27.50074499999755,29.496085199993104,,,,,,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
5,Task A,z,repeat ,7,7,0,z,1,1.5656524999940302,None,0,7,7,10,29.512544099998195,,,,,,,,,29.49647259998892,29.512544099998195,30.495608599987463,30.50178349998896,30.513763499999186,30.513763499999186,31.528138099994976,32.09598649998952,z,1,1.5656524999940302,None,32.09999160000007,32.11276679999719,34.110458299997845,,,,,,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
A,Task B,z,switch,8,8,0,m,0,0.4779984000051627,None,0,8,8,1,34.12681359999988,,,,,,,,,34.11485509999329,34.12681359999988,35.110053699987475,35.112909499992384,35.12651000000187,35.12651000000187,,35.61118939999142,m,0,0.4779984000051627,None,35.61541399999987,35.62767069999245,37.625519199995324,,,,,,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
U,Task B,z,switch,9,9,0,z,1,1.633471399996779,None,0,9,9,17,37.64201549999416,,,,,,,,,37.62581549999595,37.64201549999416,38.62533289998828,38.63052599999355,38.64186879999761,38.64186879999761,39.64112319999549,40.29211249999935,z,1,1.633471399996779,None,40.29581309999048,40.30781269998988,42.30682679999154,,,,,,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
1,Task A,z,repeat ,10,10,0,m,0,0.7022985999938101,None,0,10,10,2,42.32299559999956,,,,,,,,,42.31088589999126,42.32299559999956,43.30629959999351,43.311298199987505,43.322684099999606,43.322684099999606,,44.04045400000177,m,0,0.7022985999938101,None,44.044191399996635,44.05637019999267,46.05498029998853,,,,,,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
D,Task B,m,switch,11,11,0,z,0,0.5124672999954782,None,0,11,11,7,46.07133379999141,,,,,,,,,46.05986779999512,46.07133379999141,47.05458359999466,47.060301299992716,47.072172599990154,47.072172599990154,,47.58910990000004,z,0,0.5124672999954782,None,47.58925679999811,47.60416879999684,49.587520399989444,49.60329849999107,,,,,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
J,Task B,m,switch,12,12,0,z,0,3.003000600001542,None,0,12,12,11,49.60329849999107,,,,,,,,,49.58776709999074,49.60329849999107,50.58696469999268,50.59155659998942,50.60292949998984,50.60292949998984,51.6023348000017,53.6193598999962,z,0,3.003000600001542,None,53.61949489999097,53.63473689999955,55.61805999999342,55.633958199992776,50.60292949998984,,,,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
T,Task B,m,switch,13,13,0,z,0,0.9502814000006765,None,0,13,13,15,55.633958199992776,,,,,,,,,55.61839719999989,55.633958199992776,56.61766699999862,56.620761400001356,56.63337299998966,56.63337299998966,,57.60078199999407,z,0,0.9502814000006765,None,57.60092719999375,57.61632159999863,59.59944849999738,59.61518319998868,56.63337299998966,,,,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
9,Task A,z,repeat ,14,14,0,m,0,1.6105338999914238,None,0,14,14,18,59.61518319998868,,,,,,,,,59.6031815999886,59.61518319998868,60.59913979998964,60.60354859998915,60.61486819999118,60.61486819999118,61.614495199988596,62.23218539998925,m,0,1.6105338999914238,None,62.23230859999603,62.24754689999099,64.23100390000036,64.24660749999748,60.61486819999118,,,,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
7,Task A,z,repeat ,15,15,0,z,1,1.7994982999953208,None,0,15,15,14,64.24660749999748,,,,,,,,,64.23129999999946,64.24660749999748,65.23029599999427,65.23518989999138,65.24650299998757,65.24650299998757,66.24571920000017,67.06309989999863,z,1,1.7994982999953208,None,67.06740819998959,67.07919859999674,69.0779077999905,,65.24650299998757,,,,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
6,Task A,m,repeat ,16,16,0,z,0,1.3817330000019865,None,0,16,16,12,69.09439389999898,,,,,,,,,69.07825269999739,69.09439389999898,70.07748670000001,70.08326669999224,70.09462289999647,70.09462289999647,71.11011889998917,71.47843689999718,z,0,1.3817330000019865,None,71.48237819998758,71.49454429998877,73.49253589998989,,,,,,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
K,Task B,m,switch,17,17,0,m,1,0.8982841999968514,None,0,17,17,3,73.50879819999682,,,,,,,,,73.4966693999886,73.50879819999682,74.49210579998908,74.49697369999194,74.50847129999602,74.50847129999602,,75.40981709999323,m,1,0.8982841999968514,None,75.41373499999463,75.42627409999841,77.42414519999875,,,,,,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
S,Task B,m,switch,18,18,0,m,1,1.8285333999956492,None,0,18,18,19,77.44061949999013,,,,,,,,,77.42440979999083,77.44061949999013,78.42374169999675,78.42813269999169,78.44005499999912,78.44005499999912,79.43971589999273,80.27396719998796,m,1,1.8285333999956492,None,80.27410019999661,80.28927359999216,82.27262099999643,82.28855459998886,,,,,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
4,Task A,m,repeat ,19,19,0,z,0,4.702292999994825,None,0,19,19,8,82.28855459998886,,,,,,,,,82.2769091999944,82.28855459998886,83.2722131999908,83.27814650000073,83.28976580000017,83.28976580000017,84.30427259999851,88.00407219999761,z,0,4.702292999994825,None,88.00920829999086,88.0220765999984,90.01840779998747,,83.28976580000017,,,,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.01855480000086,90.03482229998917,91.0179744999914,764515,001,2024-12-06_13h11.02.224,TaskSwitching,2024.2.1post4,58.58944733605794,2024-12-06 13h12.43.424785 +0530,
