study_word	thisN	thisTrialN	thisRepN	slider.response	slider.rt	test_word	reference	old_new	textbox.text	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.time	mouse.clicked_name	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	trials_2.thisRepN	trials_2.thisTrialN	trials_2.thisN	trials_2.thisIndex	thisRow.t	notes	trial.started	text.started	slider.started	trial.stopped	trials.slider.response	trials.slider.rt	test.started	text_2.started	textbox.started	text_3.started	mouse.started	test.stopped	trials_2.textbox.text	trials_2.mouse.x	trials_2.mouse.y	trials_2.mouse.leftButton	trials_2.mouse.midButton	trials_2.mouse.rightButton	trials_2.mouse.time	trials_2.mouse.clicked_name	participant	session	date	expName	psychopyVersion	frameRate	expStart
laptop	0	0	0	1.011111111	2.1318683												0	0	0	7					0.0670374		0.0292732	0.0670374	0.0670374	2.1912152	1.011111111	2.1318683															616549	1	2024-10-28_14h49.52.057	wordpriming	2024.2.1post4	58.87395322	2024-10-28 14h50.05.165805 +0530
keys	1	1	0	2.033333333	1.3720954												0	1	1	10					2.2295834		2.2061491	2.2295834	2.2295834	3.6075682	2.033333333	1.3720954															616549	1	2024-10-28_14h49.52.057	wordpriming	2024.2.1post4	58.87395322	2024-10-28 14h50.05.165805 +0530
cushion	2	2	0	1	1.6193623												0	2	2	3					3.630876		3.6145145	3.630876	3.630876	5.2578994	1	1.6193623															616549	1	2024-10-28_14h49.52.057	wordpriming	2024.2.1post4	58.87395322	2024-10-28 14h50.05.165805 +0530
orange	3	3	0	3.018518519	1.7440809												0	3	3	9					5.2898627		5.2662495	5.2898627	5.2898627	7.0423029	3.018518519	1.7440809															616549	1	2024-10-28_14h49.52.057	wordpriming	2024.2.1post4	58.87395322	2024-10-28 14h50.05.165805 +0530
camera	4	4	0	4.085185185	1.5446181												0	4	4	6					7.0756064		7.0494726	7.0756064	7.0756064	8.6247827	4.085185185	1.5446181															616549	1	2024-10-28_14h49.52.057	wordpriming	2024.2.1post4	58.87395322	2024-10-28 14h50.05.165805 +0530
phone	5	5	0	4.992592593	2.0293676												0	5	5	5					8.6567209		8.6298864	8.6567209	8.6567209	10.6815772	4.992592593	2.0293676															616549	1	2024-10-28_14h49.52.057	wordpriming	2024.2.1post4	58.87395322	2024-10-28 14h50.05.165805 +0530
pastry	6	6	0	4.992592593	1.574157												0	6	6	8					10.7094896		10.6873047	10.7094896	10.7094896	12.2920156	4.992592593	1.574157															616549	1	2024-10-28_14h49.52.057	wordpriming	2024.2.1post4	58.87395322	2024-10-28 14h50.05.165805 +0530
police	7	7	0	4.992592593	1.4838072												0	7	7	11					12.3150287		12.2972092	12.3150287	12.3150287	13.8095838	4.992592593	1.4838072															616549	1	2024-10-28_14h49.52.057	wordpriming	2024.2.1post4	58.87395322	2024-10-28 14h50.05.165805 +0530
board	8	8	0	3.996296296	1.386699												0	8	8	13					13.8445673		13.8237208	13.8445673	13.8445673	15.2423822	3.996296296	1.386699															616549	1	2024-10-28_14h49.52.057	wordpriming	2024.2.1post4	58.87395322	2024-10-28 14h50.05.165805 +0530
vase	9	9	0	2.97037037	2.8729419												0	9	9	0					15.2762081		15.2540317	15.2762081	15.2762081	18.1469777	2.97037037	2.8729419															616549	1	2024-10-28_14h49.52.057	wordpriming	2024.2.1post4	58.87395322	2024-10-28 14h50.05.165805 +0530
tiger	10	10	0	2.97037037	0.9779634												0	10	10	1					18.1738214		18.150615	18.1738214	18.1738214	19.1590496	2.97037037	0.9779634															616549	1	2024-10-28_14h49.52.057	wordpriming	2024.2.1post4	58.87395322	2024-10-28 14h50.05.165805 +0530
piano	11	11	0	1.992592593	1.5981695												0	11	11	4					19.1806565		19.163139	19.1806565	19.1806565	20.7917444	1.992592593	1.5981695															616549	1	2024-10-28_14h49.52.057	wordpriming	2024.2.1post4	58.87395322	2024-10-28 14h50.05.165805 +0530
book	12	12	0	1.011111111	2.2336492												0	12	12	2					20.8109918		20.7943449	20.8109918	20.8109918	23.0501849	1.011111111	2.2336492															616549	1	2024-10-28_14h49.52.057	wordpriming	2024.2.1post4	58.87395322	2024-10-28 14h50.05.165805 +0530
mouse	13	13	0	3	2.1089751												0	13	13	14					23.0738917		23.0533452	23.0738917	23.0738917	25.1927308	3	2.1089751															616549	1	2024-10-28_14h49.52.057	wordpriming	2024.2.1post4	58.87395322	2024-10-28 14h50.05.165805 +0530
marble	14	14	0	3.959259259	2.5469351												0	14	14	12					25.2239462		25.2001845	25.2239462	25.2239462	27.7763315	3.959259259	2.5469351															616549	1	2024-10-28_14h49.52.057	wordpriming	2024.2.1post4	58.87395322	2024-10-28 14h50.05.165805 +0530
	0	0	0			p__c_l	pencil	new	"""pencil"																																												
	[0.1388888888888889]	[-0.28425925925925927]	[1]	[0]	[0]	[7.526243899999827]	['text_3']					0	0	0	15	27.8410752								27.803323	27.8410752	27.8410752	27.8410752	0.0269726	35.3305778	pencil																							
