14.6892 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
14.6914 	INFO 	Loaded monitor calibration from ['2024_08_09 00:19']
15.7092 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000017B395993F0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000017B39599390>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000017B395991E0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000017B2F5BCCA0>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.7094 	EXP 	window1: backgroundImage = ''
15.7094 	EXP 	window1: backgroundFit = 'none'
15.7102 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000017B39599510>
15.7108 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000017B39599510>
15.7275 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000017B39599510>
15.7302 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000017B39599510>
15.7508 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.7548 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.7588 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.7636 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.7682 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.7717 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.7746 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.7778 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.7794 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.7817 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.7851 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.7894 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.7922 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.7956 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.7990 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.8027 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
